         159764 function calls (159422 primitive calls) in 37.516 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.001    0.000    0.001    0.000 socket.py:246(__init__)
      198    0.001    0.000    0.001    0.000 socket.py:276(close)
       99    0.000    0.000    0.000    0.000 socket.py:285(__del__)
       99    0.000    0.000    0.000    0.000 socket.py:292(flush)
      197    0.004    0.000    0.010    0.000 socket.py:336(read)
     2178    0.026    0.000   36.852    0.017 socket.py:406(readline)
        1    0.000    0.000    0.033    0.033 socket.py:537(create_connection)
        3    0.000    0.000    0.011    0.004 sre_compile.py:178(_compile_charset)
        3    0.001    0.000    0.011    0.004 sre_compile.py:207(_optimize_charset)
       16    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        8    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
        2    0.007    0.003    0.010    0.005 sre_compile.py:301(_optimize_unicode)
      6/2    0.000    0.000    0.005    0.003 sre_compile.py:32(_compile)
        2    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        2    0.000    0.000    0.007    0.003 sre_compile.py:359(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        2    0.000    0.000    0.012    0.006 sre_compile.py:478(_code)
        2    0.000    0.000    0.013    0.006 sre_compile.py:493(compile)
        8    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
      8/4    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       27    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       19    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       22    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
      4/2    0.000    0.000    0.001    0.000 sre_parse.py:301(_parse_sub)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:379(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.001    0.000 sre_parse.py:675(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        6    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 string.py:248(strip)
        1    0.000    0.000    0.000    0.000 string.py:281(split)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
      397    0.003    0.000    0.030    0.000 structures.py:65(__init__)
     2577    0.005    0.000    0.007    0.000 structures.py:71(__setitem__)
     1089    0.003    0.000    0.004    0.000 structures.py:76(__getitem__)
      396    0.002    0.000    0.002    0.000 structures.py:82(__iter__)
     1584    0.001    0.000    0.001    0.000 structures.py:83(<genexpr>)
       99    0.000    0.000    0.000    0.000 structures.py:85(__len__)
      300    0.001    0.000    0.005    0.000 threading.py:113(RLock)
      300    0.002    0.000    0.003    0.000 threading.py:131(__init__)
      595    0.005    0.000    0.007    0.000 threading.py:146(acquire)
      595    0.004    0.000    0.005    0.000 threading.py:186(release)
      199    0.000    0.000    0.002    0.000 threading.py:214(__exit__)
        3    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        3    0.000    0.000    0.000    0.000 threading.py:259(__init__)
      208    0.001    0.000    0.001    0.000 threading.py:299(_is_owned)
      208    0.001    0.000    0.003    0.000 threading.py:372(notify)
      303    0.000    0.000    0.000    0.000 threading.py:58(__init__)
     1398    0.001    0.000    0.001    0.000 threading.py:63(_note)
       99    0.000    0.000    0.000    0.000 urllib.py:1043(_is_unicode)
       99    0.001    0.000    0.003    0.000 urllib.py:1123(splitport)
       99    0.001    0.000    0.001    0.000 urllib.py:1210(unquote)
       99    0.001    0.000    0.001    0.000 urllib.py:1251(quote)
       99    0.001    0.000    0.001    0.000 urllib.py:1297(urlencode)
       99    0.003    0.000    0.005    0.000 urllib.py:1361(getproxies_environment)
       99    0.001    0.000    0.005    0.000 urllib.py:1377(proxy_bypass_environment)
       99    0.000    0.000    0.001    0.000 urlparse.py:133(geturl)
      792    0.007    0.000    0.022    0.000 urlparse.py:137(urlparse)
       99    0.001    0.000    0.002    0.000 urlparse.py:160(_splitnetloc)
      891    0.006    0.000    0.011    0.000 urlparse.py:168(urlsplit)
      198    0.001    0.000    0.002    0.000 urlparse.py:223(urlunparse)
      198    0.001    0.000    0.001    0.000 urlparse.py:233(urlunsplit)
        4    0.000    0.000    0.000    0.000 urlparse.py:68(clear_cache)
       99    0.000    0.000    0.000    0.000 urlparse.py:76(username)
      198    0.001    0.000    0.002    0.000 utf_8.py:15(decode)
      199    0.001    0.000    0.002    0.000 util.py:115(__init__)
      597    0.001    0.000    0.001    0.000 util.py:126(_validate_timeout)
        1    0.000    0.000    0.000    0.000 util.py:160(from_float)
       99    0.001    0.000    0.001    0.000 util.py:176(clone)
       99    0.000    0.000    0.001    0.000 util.py:191(start_connect)
      100    0.000    0.000    0.000    0.000 util.py:215(connect_timeout)
       99    0.000    0.000    0.000    0.000 util.py:233(read_timeout)
      198    0.001    0.000    0.002    0.000 util.py:272(__new__)
      198    0.002    0.000    0.003    0.000 util.py:298(split_first)
      198    0.004    0.000    0.010    0.000 util.py:331(parse_url)
       99    0.000    0.000    0.000    0.000 util.py:44(current_time)
       98    0.001    0.000    0.005    0.000 util.py:471(is_connection_dropped)
      296    0.001    0.000    0.001    0.000 util.py:578(is_fp_closed)
      693    0.005    0.000    0.017    0.000 utils.py:144(to_key_val_list)
       99    0.001    0.000    0.008    0.000 utils.py:300(get_encoding_from_headers)
       99    0.001    0.000    0.001    0.000 utils.py:385(unquote_unreserved)
       99    0.001    0.000    0.003    0.000 utils.py:407(requote_uri)
       99    0.001    0.000    0.010    0.000 utils.py:469(should_bypass_proxies)
       99    0.001    0.000    0.002    0.000 utils.py:473(<lambda>)
       99    0.000    0.000    0.001    0.000 utils.py:48(super_len)
       99    0.001    0.000    0.015    0.000 utils.py:514(get_environ_proxies)
        1    0.000    0.000    0.004    0.004 utils.py:522(default_user_agent)
        1    0.000    0.000    0.005    0.005 utils.py:553(default_headers)
       99    0.002    0.000    0.005    0.000 utils.py:639(get_auth_from_url)
      297    0.001    0.000    0.001    0.000 utils.py:652(to_native_string)
       99    0.006    0.000    0.020    0.000 utils.py:68(get_netrc_auth)
        1    0.000    0.000    0.013    0.013 {__import__}
      198    0.001    0.000    0.001    0.000 {_codecs.utf_8_decode}
        1    0.025    0.025    0.025    0.025 {_socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       99    0.000    0.000    0.000    0.000 {all}
      100    0.000    0.000    0.000    0.000 {any}
     1090    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x91f8e0}
      197    0.073    0.000    0.073    0.000 {built-in method decompress}
       99    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       98    0.001    0.000    0.001    0.000 {built-in method poll}
       98    0.001    0.000    0.002    0.000 {built-in method register}
      198    0.002    0.000    0.002    0.000 {built-in method utcnow}
     2474    0.003    0.000    0.003    0.000 {cStringIO.StringIO}
        1    0.000    0.000    0.000    0.000 {filter}
     2605    0.003    0.000    0.003    0.000 {getattr}
     2578    0.007    0.000    0.007    0.000 {hasattr}
     5773    0.012    0.000    0.030    0.000 {isinstance}
     23/6    0.000    0.000    0.001    0.000 {issubclass}
8723/8721    0.005    0.000    0.005    0.000 {len}
