         16044 function calls (15972 primitive calls) in 1.190 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      189    0.000    0.000    0.000    0.000 rfc822.py:209(islast)
      189    0.000    0.000    0.000    0.000 rfc822.py:219(iscomment)
       36    0.001    0.000    0.002    0.000 rfc822.py:228(getallmatchingheaders)
       54    0.000    0.000    0.000    0.000 rfc822.py:285(getheader)
       36    0.000    0.000    0.002    0.000 rfc822.py:295(getheaders)
        9    0.000    0.000    0.000    0.000 rfc822.py:454(items)
        9    0.000    0.000    0.009    0.001 rfc822.py:88(__init__)
        1    0.000    0.000    0.006    0.006 sessions.py:267(__init__)
        9    0.000    0.000    0.028    0.003 sessions.py:324(prepare_request)
        9    0.000    0.000    1.183    0.131 sessions.py:363(request)
       63    0.000    0.000    0.005    0.000 sessions.py:42(merge_setting)
        9    0.000    0.000    1.183    0.131 sessions.py:459(get)
        9    0.000    0.000    1.151    0.128 sessions.py:528(send)
        9    0.000    0.000    0.000    0.000 sessions.py:590(get_adapter)
        2    0.000    0.000    0.000    0.000 sessions.py:605(mount)
        9    0.000    0.000    0.000    0.000 sessions.py:73(merge_hooks)
        9    0.000    0.000    0.000    0.000 sessions.py:90(resolve_redirects)
        1    0.000    0.000    0.000    0.000 shlex.py:2(<module>)
        1    0.000    0.000    0.000    0.000 shlex.py:21(shlex)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
        9    0.000    0.000    0.000    0.000 socket.py:212(makefile)
       19    0.000    0.000    0.007    0.000 socket.py:223(meth)
        9    0.000    0.000    0.000    0.000 socket.py:246(__init__)
       18    0.000    0.000    0.000    0.000 socket.py:276(close)
        9    0.000    0.000    0.000    0.000 socket.py:285(__del__)
        9    0.000    0.000    0.000    0.000 socket.py:292(flush)
       18    0.000    0.000    0.001    0.000 socket.py:336(read)
      198    0.002    0.000    1.098    0.006 socket.py:406(readline)
        1    0.000    0.000    0.019    0.019 socket.py:537(create_connection)
        3    0.000    0.000    0.009    0.003 sre_compile.py:178(_compile_charset)
        3    0.001    0.000    0.009    0.003 sre_compile.py:207(_optimize_charset)
       16    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        8    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
        2    0.006    0.003    0.008    0.004 sre_compile.py:301(_optimize_unicode)
      6/2    0.000    0.000    0.005    0.002 sre_compile.py:32(_compile)
        2    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        2    0.000    0.000    0.005    0.003 sre_compile.py:359(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        2    0.000    0.000    0.010    0.005 sre_compile.py:478(_code)
        2    0.000    0.000    0.010    0.005 sre_compile.py:493(compile)
        8    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
      8/4    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       27    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       19    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       22    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
      4/2    0.000    0.000    0.001    0.000 sre_parse.py:301(_parse_sub)
      4/2    0.000    0.000    0.001    0.000 sre_parse.py:379(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.001    0.000 sre_parse.py:675(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        6    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 string.py:248(strip)
        1    0.000    0.000    0.000    0.000 string.py:281(split)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       37    0.000    0.000    0.004    0.000 structures.py:65(__init__)
      237    0.000    0.000    0.001    0.000 structures.py:71(__setitem__)
       99    0.000    0.000    0.000    0.000 structures.py:76(__getitem__)
       36    0.000    0.000    0.000    0.000 structures.py:82(__iter__)
      144    0.000    0.000    0.000    0.000 structures.py:83(<genexpr>)
        9    0.000    0.000    0.000    0.000 structures.py:85(__len__)
       30    0.000    0.000    0.000    0.000 threading.py:113(RLock)
       30    0.000    0.000    0.000    0.000 threading.py:131(__init__)
       55    0.000    0.000    0.001    0.000 threading.py:146(acquire)
       55    0.000    0.000    0.000    0.000 threading.py:186(release)
       19    0.000    0.000    0.000    0.000 threading.py:214(__exit__)
        3    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        3    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       28    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
       28    0.000    0.000    0.000    0.000 threading.py:372(notify)
       33    0.000    0.000    0.000    0.000 threading.py:58(__init__)
      138    0.000    0.000    0.000    0.000 threading.py:63(_note)
        9    0.000    0.000    0.000    0.000 urllib.py:1043(_is_unicode)
        9    0.000    0.000    0.001    0.000 urllib.py:1123(splitport)
        9    0.000    0.000    0.000    0.000 urllib.py:1210(unquote)
        9    0.000    0.000    0.000    0.000 urllib.py:1251(quote)
        9    0.000    0.000    0.000    0.000 urllib.py:1297(urlencode)
        9    0.000    0.000    0.000    0.000 urllib.py:1361(getproxies_environment)
        9    0.000    0.000    0.001    0.000 urllib.py:1377(proxy_bypass_environment)
        9    0.000    0.000    0.000    0.000 urlparse.py:133(geturl)
       72    0.001    0.000    0.002    0.000 urlparse.py:137(urlparse)
        9    0.000    0.000    0.000    0.000 urlparse.py:160(_splitnetloc)
       81    0.001    0.000    0.001    0.000 urlparse.py:168(urlsplit)
       18    0.000    0.000    0.000    0.000 urlparse.py:223(urlunparse)
       18    0.000    0.000    0.000    0.000 urlparse.py:233(urlunsplit)
        9    0.000    0.000    0.000    0.000 urlparse.py:76(username)
       18    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
       19    0.000    0.000    0.000    0.000 util.py:115(__init__)
       57    0.000    0.000    0.000    0.000 util.py:126(_validate_timeout)
        1    0.000    0.000    0.000    0.000 util.py:160(from_float)
        9    0.000    0.000    0.000    0.000 util.py:176(clone)
        9    0.000    0.000    0.000    0.000 util.py:191(start_connect)
       10    0.000    0.000    0.000    0.000 util.py:215(connect_timeout)
        9    0.000    0.000    0.000    0.000 util.py:233(read_timeout)
       18    0.000    0.000    0.000    0.000 util.py:272(__new__)
