         47986 function calls (47854 primitive calls) in 2.871 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.009    0.000    0.033    0.001 httplib.py:234(readheaders)
       29    0.000    0.000    0.001    0.000 httplib.py:335(__init__)
       29    0.001    0.000    2.654    0.092 httplib.py:363(_read_status)
       29    0.002    0.000    2.692    0.093 httplib.py:402(begin)
       29    0.000    0.000    0.000    0.000 httplib.py:488(_check_close)
       29    0.000    0.000    0.001    0.000 httplib.py:518(close)
      115    0.000    0.000    0.000    0.000 httplib.py:523(isclosed)
       58    0.001    0.000    0.004    0.000 httplib.py:534(read)
       29    0.000    0.000    0.000    0.000 httplib.py:673(getheaders)
        1    0.000    0.000    0.000    0.000 httplib.py:691(__init__)
        1    0.000    0.000    0.000    0.000 httplib.py:721(_set_hostport)
        1    0.000    0.000    0.031    0.031 httplib.py:769(connect)
       29    0.000    0.000    0.033    0.001 httplib.py:787(send)
      145    0.000    0.000    0.000    0.000 httplib.py:807(_output)
       29    0.000    0.000    0.034    0.001 httplib.py:814(_send_output)
       29    0.001    0.000    0.002    0.000 httplib.py:835(putrequest)
      116    0.001    0.000    0.001    0.000 httplib.py:945(putheader)
       29    0.000    0.000    0.034    0.001 httplib.py:956(endheaders)
       29    0.000    0.000    0.039    0.001 httplib.py:971(request)
       29    0.001    0.000    0.039    0.001 httplib.py:992(_send_request)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
       29    0.000    0.000    0.002    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:197(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 idna.py:231(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 idna.py:271(StreamWriter)
        1    0.000    0.000    0.000    0.000 idna.py:274(StreamReader)
        1    0.000    0.000    0.000    0.000 idna.py:279(getregentry)
        1    0.000    0.000    0.005    0.005 idna.py:3(<module>)
       87    0.000    0.000    0.001    0.000 idna.py:62(ToASCII)
       29    0.001    0.000    0.036    0.001 mimetools.py:24(__init__)
       29    0.001    0.000    0.001    0.000 mimetools.py:33(parsetype)
       29    0.000    0.000    0.001    0.000 mimetools.py:50(parseplist)
       29    0.000    0.000    0.001    0.000 models.py:151(register_hook)
       29    0.000    0.000    0.000    0.000 models.py:160(<genexpr>)
       29    0.000    0.000    0.000    0.000 models.py:197(__init__)
       29    0.000    0.000    0.000    0.000 models.py:267(__init__)
       29    0.001    0.000    0.026    0.001 models.py:282(prepare)
       29    0.000    0.000    0.000    0.000 models.py:311(prepare_method)
       29    0.001    0.000    0.013    0.000 models.py:317(prepare_url)
       29    0.000    0.000    0.003    0.000 models.py:383(prepare_headers)
      116    0.000    0.000    0.000    0.000 models.py:387(<genexpr>)
       29    0.000    0.000    0.001    0.000 models.py:391(prepare_body)
       29    0.000    0.000    0.000    0.000 models.py:42(path_url)
       29    0.000    0.000    0.000    0.000 models.py:444(prepare_content_length)
       29    0.000    0.000    0.002    0.000 models.py:456(prepare_auth)
       29    0.000    0.000    0.005    0.000 models.py:478(prepare_cookies)
       29    0.000    0.000    0.001    0.000 models.py:490(prepare_hooks)
       29    0.001    0.000    0.005    0.000 models.py:514(__init__)
       29    0.000    0.000    0.000    0.000 models.py:600(iter_content)
       87    0.000    0.000    0.027    0.000 models.py:611(generate)
       29    0.000    0.000    0.002    0.000 models.py:63(_encode_params)
       29    0.000    0.000    0.029    0.001 models.py:665(content)
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 netrc.py:12(NetrcParseError)
        1    0.000    0.000    0.000    0.000 netrc.py:24(netrc)
       58    0.000    0.000    0.001    0.000 ordered_dict.py:125(items)
      117    0.001    0.000    0.002    0.000 ordered_dict.py:143(update)
       59    0.001    0.000    0.002    0.000 ordered_dict.py:29(__init__)
        2    0.000    0.000    0.000    0.000 ordered_dict.py:45(__setitem__)
      121    0.000    0.000    0.000    0.000 ordered_dict.py:64(__iter__)
        1    0.000    0.000    0.002    0.002 platform.py:1023(_syscmd_uname)
        2    0.000    0.000    0.002    0.001 platform.py:1189(uname)
        1    0.000    0.000    0.002    0.002 platform.py:1326(system)
        1    0.000    0.000    0.000    0.000 platform.py:1345(release)
        2    0.000    0.000    0.000    0.000 platform.py:1412(_sys_version)
        1    0.000    0.000    0.000    0.000 platform.py:1510(python_implementation)
        1    0.000    0.000    0.000    0.000 platform.py:1523(python_version)
